Iteration,x1,x2,Fidelity,y
1,0.0,0.0,LF,0.1715385
2,0.0,1.0,LF,0.1531369
3,0.09543037823139913,0.5941669980957972,LF,0.134659
4,0.20761363353309115,0.03661238495840474,LF,0.1536055
5,0.32392811821505263,0.7088103435162958,LF,0.136666
6,0.41177715327643316,0.39212391325638485,LF,0.1326407
7,0.5226772711654605,0.16200432179869567,LF,0.1289396
8,0.6541234424776137,0.8971930050054147,LF,0.1987668
9,0.7937209319991524,0.2833713222396223,LF,0.1210763
10,0.9719513946363982,0.7635587911599844,LF,0.1603627
11,1.0,0.0,LF,0.1330925
12,1.0,1.0,LF,0.2280568
13,1.0,1.0,HF,0.2036188
14,0.0,1.0,HF,0.1613523
15,0.0,0.0,HF,0.1498235 
16,1.0,0.0,HF,0.1172156 
17,1.0,0.3976495688074325,LF,0.1175293
18,0.627333770061702,0.0,LF,0.1393265
19,0.0,0.4038478498448614,LF,0.1531334
20,0.6635274608906448,0.5084476444528689,LF,0.123241

